Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%),Raw Asset Class,Simplified Asset Class
CANE,Teucrium Sugar Fund,Commodity,"$10,881,000",3.59%,"46,071",$11.84,-2.15%,No,False,-5.52%,0.68%,-8.64%,6.36%,16.94%,"-$2,545,000.00",$0.00,"-$919,500.00","-$1,792,000.00","-$23,967,500.00","-$10,452,500.00",Agricultural Commodities,2011-09-19,2.80%,,$0.00,,,0.00%,0.0,0.39,1.0,100.00%,28%,28%,K-1,$12.02,$12.83,$11.72,$12.08,44.16,C+,C,C,A,,B-,0.0,,,,,,Commodity,Other
WTIU,MicroSectors Energy 3X Leveraged ETNs,Commodity,"$10,765,900",-42.91%,"51,721",$6.52,-10.56%,No,3x,-52.56%,-40.21%,-75.05%,,,$0.00,$0.00,$0.00,"$22,836,703.80","$22,836,703.80","$22,836,703.80",Leveraged Commodities,2023-02-15,0.95%,,$0.00,,,0.00%,0.0,0.0,1.0,100.00%,40%,20%,1099,$7.70,$16.10,$5.92,$7.43,28.25,,C+,,,,,0.0,,,,,,Commodity,Other
USG,USCF Gold Strategy Plus Income Fund ETF,,"$10,575,200",13.55%,"4,369",$32.90,0.21%,No,False,-4.17%,2.36%,30.38%,13.63%,,"$867,425.00","$849,675.00","$1,676,375.00","$5,745,625.00","$5,607,200.00","$6,239,050.00",,2021-11-03,0.47%,,$2.17,2025-03-19,$0.16,6.68%,,,2.0,100.00%,40%,20%,1099,$32.45,$34.63,,,51.21,B,B+,A,B-,A,,0.0,,,,,,,Bond
TAGS,Teucrium Agricultural Fund,Commodity,"$10,028,100",-1.03%,"2,140",$24.86,-0.76%,No,False,-3.04%,-1.95%,-11.37%,-9.57%,8.23%,"-$321,500.00",$0.00,$0.00,"-$2,880,125.00","-$11,937,625.00","$11,850,000.00",Agricultural Commodities,2012-03-28,0.13%,,$0.00,,,0.00%,0.0,0.11,6.0,100.00%,40%,20%,K-1,$24.92,$26.12,$24.73,$25.12,38.77,C+,A+,C+,C+,,A-,0.0,,,,,,Commodity,Other
HCOM,Hartford Schroders Commodity Strategy ETF,Commodity,"$9,618,240",2.63%,158,$14.71,-0.94%,No,False,-6.64%,-4.95%,0.39%,-4.64%,,"-$388,537.50",$0.00,"-$388,537.50","-$1,138,412.50","-$27,095,807.50","$18,272,419.04",Commodities,2021-09-14,0.59%,,$0.64,2024-12-23,$0.64,4.35%,0.0,0.33,13.0,97.18%,40%,20%,1099,$14.94,$16.10,$14.71,$14.71,32.7,C+,B+,,,B+,,0.0,,,,,,Commodity,Other
TMET,iShares Transition-Enabling Metals ETF,,"$8,447,720",-2.27%,510,$20.90,-1.88%,No,False,-12.93%,-11.59%,-3.11%,,,$0.00,$0.00,$0.00,"-$3,009,990.00","-$527,240.00","-$527,240.00",,2023-09-28,0.48%,,$6.34,2024-12-17,$6.34,30.31%,,,14.0,88.35%,40%,20%,1099,$21.63,$26.02,$20.73,$21.26,26.4,C+,B+,,C,B,,0.0,,,,,,,Other
EVMT,Invesco Electric Vehicle Metals Commodity Strategy No K-1 ETF,Commodity,"$7,278,510",-2.26%,"1,308",$14.27,-2.86%,No,False,-10.20%,-10.36%,-14.35%,,,$0.00,$0.00,$0.00,"$59,000.00","-$8,389,500.00","-$8,389,500.00",Commodities,2022-04-27,0.59%,,$0.53,2024-12-23,$0.53,3.71%,0.0,1.64,2.0,100.00%,40%,20%,1099,$14.73,$16.88,$14.20,$14.40,31.77,,B+,,,,,0.0,,,,,,Commodity,Other
KEUA,KraneShares European Carbon Allowance Strategy ETF,Commodity,"$6,826,340",-11.51%,"3,829",$19.21,-0.36%,No,False,-11.12%,-9.19%,-4.24%,-9.16%,,"-$1,068,419.25","$2,414.27","$1,352.99","-$4,636,609.08","-$15,303,848.14","$17,512,234.46",Commodities,2021-10-05,0.82%,,$1.67,2024-12-17,$1.67,8.58%,0.0,0.5,4.0,100.01%,40%,20%,1099,$19.46,$23.31,$19.06,$19.41,34.41,C+,B-,,,B,,0.0,,,,,,Commodity,Other
WTID,MicroSectors Energy 3X Inverse Leveraged ETNs,Commodity,"$3,991,580",30.58%,"4,084",$27.28,9.08%,Yes,-3x,80.14%,39.18%,114.25%,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Leveraged Equities,2023-02-15,0.95%,,$0.00,,,0.00%,0.0,0.0,1.0,100.00%,40%,20%,1099,$11.33,$24.24,,,73.69,,C,,,,,0.0,,,,,,Commodity,Other
TILL,Teucrium Agricultural Strategy No K-1 ETF,Commodity,"$3,508,500",0.00%,"2,621",$18.60,-0.64%,No,False,-2.99%,-1.80%,-11.44%,,,"-$709,597.50",$0.00,$0.00,"$1,196,247.50","$5,417,176.25","$5,417,176.25",Agricultural Commodities,2022-05-16,0.97%,,$0.47,2024-12-24,$0.47,2.53%,0.0,0.77,2.0,100.00%,40%,20%,1099,$18.60,$19.56,$18.52,$18.66,39.91,,C,,,,,0.0,,,,,,Commodity,Other
DGZ,DB Gold Short Exchange Traded Notes,Commodity,"$2,388,560",-8.07%,715,$7.63,-0.13%,Yes,-1x,7.31%,-1.55%,-15.20%,-6.92%,-7.64%,$0.00,$0.00,$0.00,$0.00,"-$236,173.19","-$236,173.19",Inverse Commodities,2008-02-27,0.75%,,$0.00,,,0.00%,0.0,-0.15,1.0,100.00%,40%,20%,1099,$7.15,$7.81,$7.35,$7.98,50.37,A+,A-,A+,A+,B,,0.0,,,,,,Commodity,Other
CMCI,VanEck CMCI Commodity Strategy ETF,,"$2,360,320",-4.59%,653,$23.29,-1.90%,No,False,-9.17%,-6.95%,-6.56%,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,2023-08-21,0.65%,,$0.96,2024-12-23,$0.96,4.12%,,,13.0,92.78%,40%,20%,1099,$23.87,$26.47,$23.29,$23.29,26.28,C,B,,B+,B+,,0.0,,,,,,,Other
DZZ,Deutsche Bank Ag London Gold Double Short Exchange Traded (Nts),Commodity,"$2,252,770",1.24%,"11,513",$1.67,2.45%,Yes,-2x,2.43%,-9.91%,-20.29%,-11.04%,-14.50%,$0.00,$0.00,$0.00,$0.00,"-$498,036.16","-$2,236,668.97",Inverse Commodities,2008-02-27,0.75%,,$0.00,,,0.00%,0.0,-0.25,1.0,100.00%,40%,20%,1099,$1.56,$1.86,$1.62,$1.69,49.31,A-,A,A,A,C,,0.0,,,,,,Commodity,Other
ZSC,USCF Sustainable Commodity Strategy Fund,,"$2,159,000",-3.80%,402,$21.37,-2.73%,No,False,-6.21%,-5.88%,-9.91%,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,2023-08-09,0.59%,,$0.49,2024-12-27,$0.48,2.25%,,,43.0,86.59%,40%,20%,1099,$21.95,$23.91,$21.37,$21.37,31.7,C,B,C,B,B+,,0.0,,,,,,,Other
CXRN,Teucrium 2x Daily Corn ETF,,"$2,056,340",-2.10%,0,$25.97,0.97%,No,False,2.90%,-0.85%,,,,$0.00,$0.00,$0.00,"$1,999,975.00","$1,999,975.00","$1,999,975.00",,2024-12-12,0.95%,,$0.21,2025-03-25,$0.06,0.83%,,,3.0,100.00%,40%,20%,1099,$24.13,$26.21,$25.77,$26.07,49.15,,,,,,,0.0,,,,,,,Other
WXET,Teucrium 2x Daily Wheat ETF,,"$1,735,360",-10.44%,466,$21.63,-0.05%,No,False,-1.69%,-5.92%,,,,$0.00,$0.00,$0.00,"$1,999,975.00","$1,999,975.00","$1,999,975.00",,2024-12-12,0.95%,,$0.18,2025-03-25,$0.05,0.82%,,,3.0,100.00%,40%,20%,1099,$20.30,$24.77,$21.47,$21.94,41.43,,,,,,,0.0,,,,,,,Other
CORX,2x Corn ETF,,"$1,633,080",,,,0.00%,No,False,,,,,,$0.00,$0.00,$0.00,"$1,504,984.95","$1,504,984.95","$1,504,984.95",,2024-12-05,1.85%,,,,,,,,3.0,100.00%,40%,20%,1099,,,,,,,,,,,,0.0,,,,,,,Other
GLDY,Defiance Gold Enhanced Options Income ETF,,"$1,454,750",,,$19.48,0.46%,No,False,,-3.14%,,,,"$1,501,445.00","$1,501,445.00","$1,501,445.00","$1,501,445.00","$1,501,445.00","$1,501,445.00",,2025-04-01,0.99%,,$0.00,,,0.00%,,,9.0,99.98%,40%,20%,1099,,,,,,,,,,,,0.0,,,,,,,Bond
WHTX,2X Wheat ETF,,"$1,345,640",,,,0.00%,No,False,,,,,,$0.00,$0.00,$0.00,"$1,507,984.92","$1,507,984.92","$1,507,984.92",,2024-12-05,1.85%,,,,,,,,3.0,99.99%,40%,20%,1099,,,,,,,,,,,,0.0,,,,,,,Other
ZSB,USCF Sustainable Battery Metals Strategy Fund,Commodity,"$1,315,800",0.64%,"5,344",$13.04,-3.91%,No,False,-11.70%,-9.21%,-14.18%,,,"$61,400.00",$0.00,"$61,400.00","$61,400.00","$61,400.00","$61,400.00",Commodities,2023-01-11,0.61%,,$0.38,2024-12-27,$0.38,2.92%,0.0,0.9,31.0,94.58%,40%,20%,1099,$13.52,$15.76,$13.04,$13.04,35.58,C,B+,,B+,C,,0.0,,,,,,Commodity,Other
BWET,Breakwave Tanker Shipping ETF,,"$1,276,830",3.23%,"3,095",$10.14,-0.59%,No,False,-6.24%,-2.83%,-46.66%,,,"$15,957.50",$0.00,$0.00,"-$593,857.50","$1,509,718.36","$1,509,718.36",,2023-05-03,3.50%,,$0.00,,,0.00%,,,4.0,100.01%,28%,28%,1099,$10.21,$11.19,$10.05,$10.18,41.38,B,,C,C,C+,,0.0,,,,,,,Other
UX,Roundhill Uranium ETF,,"$1,223,450",,,,0.00%,No,False,,,,,,"$1,434,504.60",$0.00,"$475,410.00","$1,434,504.60","$1,434,504.60","$1,434,504.60",,2025-01-29,0.75%,,,,,,,,3.0,100.00%,40%,20%,1099,,,,,,,,,,,,0.0,,,,,,,Other
CPXR,USCF Daily Target 2X Copper Index ETF,,"$449,107",,,$17.32,-7.18%,No,False,-33.92%,-24.81%,,,,"$470,992.50",$0.00,"-$28,987.50","$470,992.50","$470,992.50","$470,992.50",,2025-01-21,1.20%,,$0.00,,,0.00%,,,3.0,100.00%,40%,20%,1099,$19.43,$30.92,$17.03,$17.89,31.31,,,,,,,0.0,,,,,,,Other
PSLV,The Sprott Physical Silver Trust,Commodity,$0,4.46%,"37,088,352",$10.08,1.00%,No,False,-12.50%,-8.86%,7.46%,4.99%,12.47%,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Precious Metals,2010-10-27,0.67%,,$0.00,,,0.00%,0.0,0.57,0.0,,39%,20%,1099,$10.28,$12.25,,,35.4,A+,,A+,A-,,,0.0,,,,,,Commodity,Other
PHYS,Sprott Physical Gold Trust,Commodity,$0,14.35%,"4,334,281",$23.03,0.92%,No,False,-4.60%,1.45%,26.89%,14.56%,11.46%,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Commodities,2010-02-25,0.41%,,$0.00,,,0.00%,0.0,0.1,0.0,0.00%,,,,$22.66,$24.27,,,50.63,,,,,,,0.0,,,,,,Commodity,Other
IBIT,iShares Bitcoin Trust ETF,Currency,"$45,100,700,000",-17.83%,"45,954,820",$43.59,-1.54%,No,False,-9.75%,-11.81%,6.45%,,,"$2,638,396,792.56","-$50,614,148.20","$425,135,534.04","$25,141,214,496.12","$39,910,281,267.32","$39,910,281,267.32",Currency,2024-01-05,0.12%,,$0.00,,,0.00%,0.0,2.51,1.0,100.00%,40%,40%,1099,$44.52,$50.73,,,39.2,C+,A-,,C,C,,0.0,,,,,,Currency,Other
FBTC,Fidelity Wise Origin Bitcoin Fund,Currency,"$15,435,600,000",-17.87%,"4,286,562",$67.00,-1.67%,No,False,-9.70%,-11.78%,6.64%,,,"-$196,371,870.73","$10,161,149.77","$60,113,903.56","$3,655,320,055.39","$11,613,060,346.54","$11,613,060,346.54",Currency,2024-01-10,0.25%,,$0.00,,,0.00%,,,1.0,100.00%,40%,40%,1099,$68.42,$77.90,,,39.21,,A-,,,,,0.0,,,,,,Currency,Other
GBTC,Grayscale Bitcoin Trust ETF,Currency,"$14,931,500,000",-18.12%,"2,665,282",$60.61,-1.59%,No,False,-9.75%,-11.89%,-5.24%,25.89%,51.24%,"-$1,208,427,600.00","-$169,485,400.00","-$253,934,400.00","-$7,120,052,300.00","-$22,530,321,800.00","-$22,530,321,800.00",Currency,2024-01-11,1.50%,,$0.00,,,0.00%,,,1.0,100.00%,40%,40%,1099,$61.92,$70.53,,,39.08,A,C,A+,C,,,0.0,,,,,,Currency,Other
ARKB,ARK 21Shares Bitcoin ETF,Currency,"$3,716,060,000",-17.94%,"1,104,523",$76.54,-1.73%,No,False,-9.73%,-11.91%,6.62%,,,"$111,816,940.00","-$3,775,045.00","$100,681,870.00","$345,776,205.00","$2,584,118,280.00","$2,584,118,280.00",Currency,2024-01-10,0.21%,,$0.00,,,0.00%,,,1.0,100.00%,40%,40%,1099,$78.17,$89.01,,,39.14,,A,,,,,0.0,,,,,,Currency,Other
BTC,Grayscale Bitcoin Mini Trust ETF,Currency,"$3,199,340,000",-18.82%,"1,163,605",$33.99,-1.56%,No,False,-9.72%,-11.81%,,,,"$321,171,700.00","$34,282,800.00","$63,779,400.00","-$1,570,744,141.68","-$1,570,744,141.68","-$1,570,744,141.68",Currency,2024-07-31,0.15%,,$0.00,2021-03-29,$0.02,0.00%,,0.0,1.0,100.00%,40%,40%,1099,$34.71,$39.54,,,39.24,C+,A-,,A,B+,,0.0,,,,,,Currency,Other
BITB,Bitwise Bitcoin ETF Trust,Currency,"$2,972,480,000",-17.90%,"1,489,635",$41.75,-1.60%,No,False,-9.77%,-11.79%,6.56%,,,"-$171,967,090.00","-$4,133,880.00","-$33,139,600.00","$278,685,140.00","$1,941,790,600.00","$1,941,790,600.00",Currency,2024-01-11,0.20%,,$0.00,,,0.00%,,,1.0,100.00%,40%,40%,1099,$42.64,$48.57,,,39.17,,A,,,,,0.0,,,,,,Currency,Other
BITO,ProShares Bitcoin ETF,Currency,"$2,021,660,000",-19.34%,"8,599,391",$16.69,-1.82%,No,False,-9.73%,-12.21%,-0.83%,14.67%,,"$330,669,243.00","-$21,314,913.00","$68,859,307.00","$308,115,044.00","$1,249,766,393.00","$2,922,121,034.91",Currency,2021-10-19,0.95%,,$13.82,2025-04-01,$0.36,81.35%,0.0,1.9,2.0,100.00%,40%,20%,1099,$17.08,$19.47,,,38.92,A+,C+,A,C+,B,,0.0,,,,,,Currency,Other
ETHE,Grayscale Ethereum Trust ETF,Currency,"$1,855,730,000",-56.46%,"4,439,240",$12.20,-5.06%,No,False,-23.32%,-32.22%,-55.18%,-21.13%,3.38%,"-$563,335,800.00","-$31,083,000.00","-$65,220,000.00","-$4,197,814,100.00","-$4,197,814,100.00","-$4,197,814,100.00",Currency,2024-07-23,2.50%,,$0.00,,,0.00%,,,0.0,,40%,40%,1099,$13.30,$18.17,$11.80,$12.90,29.14,A,C,A,C,,,0.0,,,,,,Currency,Other
ETHA,iShares Ethereum Trust ETF,Currency,"$1,830,650,000",-56.23%,"10,218,887",$11.07,-4.82%,No,False,-23.50%,-32.13%,,,,"$528,304,407.40","-$20,166,412.00","-$157,466,008.08","$4,053,362,401.60","$4,053,362,401.60","$4,053,362,401.60",Currency,2024-06-24,0.25%,,$0.00,,,0.00%,,,1.0,100.00%,40%,40%,1099,$12.07,$16.49,$10.71,$11.72,29.33,,,,,,,0.0,,,,,,Currency,Other
BITX,2x Bitcoin Strategy ETF,Currency,"$1,723,580,000",-40.57%,"8,489,881",$30.26,-3.84%,No,2x,-19.80%,-26.19%,-33.70%,,,"-$239,165,110.00","$32,120,913.00","-$81,039,252.00","$616,533,552.00","$1,902,914,245.00","$1,902,914,245.00",Leveraged Currency,2023-06-27,1.90%,,$6.22,2025-03-27,$0.53,20.56%,,,3.0,100.00%,40%,20%,1099,$31.92,$41.86,,,38.13,A,C,,C,C,,0.0,,,,,,Currency,Other
HODL,VanEck Bitcoin ETF,Currency,"$1,195,310,000",-17.85%,"1,111,481",$21.71,-1.68%,No,False,-9.69%,-11.75%,6.93%,,,"$40,462,052.00","-$18,278,068.00","$2,817,066.25","-$58,515,251,707.57","-$57,982,536,592.82","-$57,982,536,592.82",Currency,2024-01-11,0.25%,,$0.00,,,0.00%,,,1.0,100.00%,40%,40%,1099,$22.17,$25.23,,,39.11,,A,,,,,0.0,,,,,,Currency,Other
ETH,Grayscale Ethereum Mini Trust ETF,Currency,"$703,259,000",-56.27%,"1,639,440",$13.77,-5.17%,No,False,-23.46%,-32.20%,,,,"-$23,389,700.00","-$2,700,000.00","-$41,803,100.00","$567,943,303.86","$567,943,303.86","$567,943,303.86",Currency,2024-07-23,0.00%,,$0.00,,,0.00%,,,1.0,100.00%,40%,40%,1099,$15.03,$20.53,$13.33,$14.57,29.12,,,,,,,0.0,,,,,,Currency,Other
BITU,ProShares Ultra Bitcoin ETF,Currency,"$679,378,000",-39.96%,"2,903,569",$28.42,-3.37%,No,2x,-19.67%,-26.07%,-29.26%,,,"$74,019,511.00","$31,068,222.00","-$6,785,622.00","$735,451,073.00","$776,014,581.00","$776,014,581.00",Leveraged Currency,2024-04-02,0.95%,,$2.07,2025-03-03,$0.79,7.04%,,,2.0,100.00%,40%,20%,1099,$29.94,$39.29,,,38.11,A,C+,,,C+,,0.0,,,,,,Currency,Other
FXY,Invesco Currencyshares Japanese Yen Trust,Currency,"$671,768,000",7.59%,"316,652",$63.07,1.22%,No,False,2.35%,1.12%,3.38%,-5.87%,-6.27%,"$253,760,500.00","$114,618,500.00","$154,958,000.00","$305,710,000.00","$539,006,236.47","$449,887,501.28",Currency,2007-02-12,0.40%,Charles Schwab,$0.00,,,0.00%,0.0,0.05,1.0,100.00%,40%,40%,1099,$60.80,$63.09,$62.59,$63.38,60.92,A-,A-,C,B,B,C,0.0,,,,,,Currency,Other
FETH,Fidelity Ethereum Fund ETF,Currency,"$619,728,000",,,,0.00%,No,False,,,,,,"-$141,809,105.57",$0.00,"-$42,981,131.53","$1,384,021,236.93","$1,384,021,236.93","$1,384,021,236.93",Currency,2024-07-23,0.25%,,,,,,,,1.0,100.00%,40%,40%,1099,,,,,,,A,,,,,0.0,,,,,,Currency,Other
BRRR,Coinshares Valkyrie Bitcoin Fund,Currency,"$450,492,000",-17.88%,"503,023",$21.72,-1.54%,No,False,-9.65%,-11.64%,6.68%,,,"-$271,789,680.00","-$2,632,805.00","-$63,528,804.50","-$212,273,336.50","$246,741,742.50","$246,741,742.50",Currency,2024-01-10,0.25%,,$0.00,,,0.00%,,,1.0,100.00%,40%,40%,1099,$22.15,$25.23,,,39.24,,A,,,,,0.0,,,,,,Currency,Other
EZBC,Franklin Bitcoin ETF,Currency,"$404,105,000",-17.95%,"311,944",$44.43,-1.77%,No,False,-9.79%,-11.78%,6.67%,,,"-$212,255,650.00","$17,398,200.00","-$30,636,700.00","-$26,769,750.00","$254,844,150.00","$254,844,150.00",Currency,2024-01-11,0.19%,,$0.00,,,0.00%,,,1.0,100.00%,40%,40%,1099,$45.38,$51.70,,,39.19,,A,,,,,0.0,,,,,,Currency,Other
BTCO,Invesco Galaxy Bitcoin ETF,Currency,"$400,237,000",-17.91%,"268,837",$76.60,-1.71%,No,False,-9.69%,-11.77%,6.69%,,,"-$230,902,345.00","-$12,860,595.00","-$57,393,525.00","-$148,867,080.00","$10,044,130.52","$10,044,130.52",Currency,2024-01-11,0.39%,,$0.00,,,0.00%,,,1.0,100.00%,40%,40%,1099,$78.16,$89.07,,,39.08,,A-,,,,,0.0,,,,,,Currency,Other
ETHU,2x Ether ETF,Currency,"$320,704,000",-85.53%,"42,307,148",$1.12,-11.11%,No,2x,-43.86%,-58.68%,,,,"$588,983,591.00","$47,572,100.00","$82,197,434.00","$1,591,368,208.81","$1,591,368,208.81","$1,591,368,208.81",Leveraged Currency,2024-06-04,0.94%,,$0.06,2025-03-27,$0.01,5.45%,,,2.0,100.00%,40%,20%,1099,$1.36,$2.61,$1.05,$1.26,29.92,,C+,,,,,0.0,,,,,,Currency,Other
UUP,Invesco DB US Dollar Index Bullish Fund,Currency,"$263,461,000",-3.98%,"1,224,635",$28.25,-0.46%,No,False,-1.12%,-0.49%,4.32%,5.91%,3.21%,"-$150,383,100.00","-$59,366,750.00","-$69,387,600.00","-$105,756,250.00","-$761,104,900.00","-$779,544,497.02",Currency,2007-02-20,0.77%,,$1.32,2024-12-23,$1.32,4.65%,0.0,-0.15,3.0,99.99%,28%,28%,K-1,$28.08,$28.72,$28.17,$28.36,42.03,A,B,B+,A,C+,A,0.0,,,,,,Currency,Other
FXE,Invesco CurrencyShares Euro Trust,Currency,"$231,840,000",6.20%,"107,644",$101.11,0.42%,No,False,1.56%,1.11%,2.78%,1.52%,0.45%,"$55,379,000.00","-$4,828,000.00","$20,247,000.00","$10,429,500.00","$34,291,168.22","-$40,592,248.55",Currency,2005-12-09,0.40%,Charles Schwab,$1.86,2025-04-01,$0.10,2.02%,0.0,0.13,1.0,100.00%,40%,40%,1099,$98.99,$101.55,$100.63,$101.45,62.26,B+,B+,B-,A-,B+,C,0.0,,,,,,Currency,Other
FXF,Invesco CurrencyShares Swiss Franc Trust,Currency,"$195,776,000",7.03%,"33,818",$104.74,1.14%,No,False,4.27%,3.71%,6.56%,2.90%,2.00%,"$46,163,500.00","$25,890,000.00","$40,977,000.00","$37,024,000.00","-$63,054,918.57","$41,390,117.93",Currency,2006-06-21,0.40%,Charles Schwab,$0.00,2024-04-01,$0.00,0.01%,0.0,0.09,1.0,100.00%,40%,40%,1099,$98.77,$103.71,$103.77,$105.37,74.47,B-,B+,A-,A-,B-,C+,0.0,,,,,,Currency,Other
USDU,WisdomTree Bloomberg U.S. Dollar Bullish Fund,Currency,"$194,709,000",-1.70%,"457,047",$27.19,-0.15%,No,False,0.15%,0.67%,8.24%,6.77%,2.87%,"-$53,376,850.00","-$12,254,400.00","-$87,725,950.00","$29,675,405.00","-$225,955,185.00","$147,545,795.00",Currency,2013-12-18,0.50%,2 Platforms,$1.10,2024-12-26,$1.10,4.05%,0.0,-0.18,7.0,99.98%,40%,20%,1099,$26.81,$27.34,,,49.87,A-,B,B,A,,,0.0,,,,,,Currency,Other
ETHW,Bitwise Ethereum ETF,Currency,"$142,174,000",-56.28%,"340,492",$10.48,-5.16%,No,False,-23.45%,-32.30%,,,,"-$87,044,240.00","-$6,185,710.00","-$6,185,710.00","$310,701,150.00","$310,701,150.00","$310,701,150.00",Currency,2024-07-22,0.00%,,$0.00,,,0.00%,,,1.0,100.00%,40%,40%,1099,$11.42,$15.64,$10.15,$11.09,29.16,,,,,,,0.0,,,,,,Currency,Other
YBTC,Roundhill Bitcoin Covered Call Strategy ETF,,"$137,503,000",-13.94%,"127,158",$37.43,-0.32%,No,False,-8.03%,-8.78%,2.36%,,,"$99,741,765.00","$1,629,904.00","$14,319,022.00","$165,076,282.00","$180,554,461.83","$180,554,461.83",,2024-01-18,0.95%,,$21.17,2025-04-03,$0.28,56.56%,,,4.0,100.00%,40%,20%,1099,$37.65,$41.98,,,40.52,A-,C+,,C,A,,0.0,,,,,,,Other
BTCI,NEOS Bitcoin High Income ETF,Currency,"$127,244,000",,,,0.00%,No,False,,,,,,"$116,291,910.00","$7,451,710.00","$28,291,834.00","$156,593,577.00","$156,593,577.00","$156,593,577.00",Currency,2024-10-17,0.98%,,,,,,,,6.0,99.99%,40%,20%,1099,,,,,,,,,,,,5.86,51.34%,33.11%,1.56,0.00%,0.00%,Currency,Bond
BTCW,WisdomTree Bitcoin Fund,,"$126,738,000",-17.60%,"202,569",$81.29,-1.51%,No,False,-9.73%,-11.77%,6.55%,,,"-$185,989,470.00","-$18,212,190.00","-$94,444,145.00","-$19,925,193.50","$43,187,071.00","$43,187,071.00",Currency,2024-01-11,0.25%,,$0.00,,,0.00%,,,1.0,100.00%,40%,40%,1099,$82.95,$94.54,,,39.27,,A+,,,,,0.0,,,,,,,Other
YBIT,YieldMax Bitcoin Option Income Strategy ETF,,"$104,641,000",-12.08%,"317,497",$9.37,1.19%,No,False,-6.67%,-6.42%,,,,"$32,495,195.00","-$3,739,732.50","-$3,164,825.00","$163,868,367.50","$163,868,367.50","$163,868,367.50",,2024-04-22,4.76%,,$9.20,2025-03-20,$0.44,98.67%,,,9.0,99.99%,40%,20%,1099,$9.33,$10.32,,,40.9,A,C,,,C+,,0.0,,,,,,,Bond
BITI,ProShares Short Bitcoin ETF,Currency,"$86,808,200",16.84%,"1,873,021",$27.94,1.86%,Yes,-1x,9.96%,10.15%,-20.66%,,,"-$26,133,777.00","$1,868,566.00","-$8,877,350.00","$215,046,789.23","$450,090,037.23","$450,090,037.23",Leveraged Currency,2022-06-21,1.03%,,$0.32,2025-04-01,$0.04,1.15%,0.0,5.24,2.0,100.00%,40%,20%,1099,$24.26,$27.49,,,59.67,A,C,C,C,,,0.0,,,,,,Currency,Other
NCIQ,Hashdex Nasdaq Crypto Index US ETF,,"$84,028,400",,,$19.10,-2.10%,No,False,-11.22%,-14.50%,,,,"$93,656,158.00","$977,075.00","$39,344,006.00","$93,656,158.00","$93,656,158.00","$93,656,158.00",,2025-02-14,0.25%,,$0.00,,,0.00%,,,1.0,100.00%,40%,20%,1099,$19.62,$22.87,,,34.71,,,,,,,0.0,,,,,,,Other
UDN,Invesco DB US Dollar Index Bearish Fund,Currency,"$78,743,500",6.28%,"147,026",$17.76,0.62%,No,False,1.31%,0.85%,3.50%,0.76%,0.04%,"$24,738,900.00","$8,867,400.00","$14,136,600.00","$21,956,550.00","$38,845,600.00","$49,852,913.35",Currency,2007-02-20,0.78%,,$0.89,2024-12-23,$0.89,5.03%,0.0,0.16,1.0,100.00%,28%,28%,K-1,$17.40,$17.82,$17.69,$17.81,60.99,B+,B-,B-,A-,B-,A,0.0,,,,,,Currency,Other
FXC,Invesco CurrencyShares Canadian Dollar Trust,Currency,"$72,156,000",1.22%,"56,292",$68.66,0.03%,No,False,0.48%,0.98%,-3.12%,-2.53%,0.40%,"$10,335,500.00","$3,479,000.00","$63,500.00","$13,718,000.00","-$50,120,459.73","-$43,543,025.45",Currency,2006-06-21,0.40%,Charles Schwab,$1.12,2025-04-01,$0.04,1.15%,0.0,0.26,1.0,100.00%,40%,40%,1099,$67.59,$69.09,$68.40,$69.07,53.79,B,A-,C+,A+,B+,C+,0.0,,,,,,Currency,Other
ETHV,VanEck Ethereum ETF,Currency,"$71,509,700",-56.15%,"120,787",$21.41,-5.31%,No,False,-23.51%,-32.18%,,,,"$7,749,995.00",$0.00,"-$853,287.50","$145,435,315.00","$145,435,315.00","$145,435,315.00",Currency,2024-06-25,0.00%,,$0.00,,,0.00%,,,1.0,100.00%,40%,40%,1099,$23.38,$31.92,$20.73,$22.65,29.13,,B,,,,,0.0,,,,,,Currency,Other
